Driver,Session,LapNumber,LapTimeSeconds,Compound,FuelRemaining,TyreAge,TrackStatus,Sector1Seconds,Sector2Seconds,Sector3Seconds,DeltaTime,AVG_Throttle (%),AVG_Braking (0-1)
VER,R2025,2.0,80.083,SOFT,108.2,1.0,1,24.125,32.278,23.68,0.0,65.50498338870432,0.19601328903654486
VER,R2025,3.0,80.537,SOFT,106.4,2.0,1,23.816,32.561,24.16,0.45400000000000773,62.94915254237288,0.1864406779661017
VER,R2025,4.0,81.032,SOFT,104.60000000000001,3.0,1,24.299,32.612,24.121,0.9489999999999981,63.308970099667775,0.1893687707641196
VER,R2025,5.0,80.964,SOFT,102.8,4.0,1,24.223,32.561,24.18,0.8810000000000002,65.24333333333334,0.16666666666666666
VER,R2025,6.0,80.822,SOFT,101.0,5.0,1,23.966,32.687,24.169,0.7390000000000043,63.65016501650165,0.20462046204620463
VER,R2025,7.0,80.76,SOFT,99.2,6.0,1,23.968,32.52,24.272,0.6770000000000067,65.58249158249158,0.1750841750841751
VER,R2025,8.0,81.019,SOFT,97.4,7.0,1,24.105,32.719,24.195,0.936000000000007,64.91095890410959,0.17123287671232876
VER,R2025,9.0,81.168,SOFT,95.60000000000001,8.0,1,24.033,32.833,24.302,1.085000000000008,64.45547945205479,0.1952054794520548
VER,R2025,10.0,81.163,SOFT,93.8,9.0,1,24.018,32.814,24.331,1.0799999999999983,65.04347826086956,0.19732441471571907
VER,R2025,11.0,81.143,SOFT,92.0,10.0,1,23.996,32.812,24.335,1.0600000000000023,62.7828947368421,0.19407894736842105
VER,R2025,12.0,81.623,SOFT,90.2,11.0,1,24.142,33.037,24.444,1.5400000000000063,67.42524916943522,0.16279069767441862
VER,R2025,15.0,79.63,SOFT,84.8,14.0,1,23.564,32.246,23.82,-0.45300000000000296,66.06600660066006,0.20132013201320131
VER,R2025,16.0,79.45,SOFT,83.0,15.0,1,23.702,31.92,23.828,-0.6329999999999956,65.15460526315789,0.20723684210526316
VER,R2025,17.0,80.011,SOFT,81.2,16.0,1,23.623,32.227,24.161,-0.07200000000000273,65.49498327759197,0.18729096989966554
VER,R2025,18.0,79.786,SOFT,79.4,17.0,1,23.658,32.131,23.997,-0.29699999999999704,67.1938775510204,0.1598639455782313
VER,R2025,19.0,80.259,SOFT,77.6,18.0,1,23.733,32.647,23.879,0.17600000000000193,68.19127516778524,0.1610738255033557
VER,R2025,20.0,79.84,SOFT,75.80000000000001,19.0,1,23.56,32.303,23.977,-0.242999999999995,66.02097902097903,0.17832167832167833
VER,R2025,21.0,79.911,SOFT,74.0,20.0,1,23.686,32.317,23.908,-0.17199999999999704,66.31164383561644,0.1678082191780822
VER,R2025,22.0,79.64,SOFT,72.2,21.0,1,23.583,32.204,23.853,-0.44299999999999784,66.53311258278146,0.16887417218543047
VER,R2025,23.0,80.183,SOFT,70.4,22.0,1,23.662,32.527,23.994,0.10000000000000853,66.28716216216216,0.16554054054054054
VER,R2025,24.0,79.958,SOFT,68.6,23.0,1,23.6,32.267,24.091,-0.125,65.66780821917808,0.1815068493150685
VER,R2025,25.0,80.124,SOFT,66.80000000000001,24.0,1,23.706,32.425,23.993,0.04099999999999682,66.25589225589225,0.16835016835016836
VER,R2025,26.0,80.382,SOFT,65.0,25.0,1,23.786,32.502,24.094,0.2990000000000066,66.35664335664336,0.16783216783216784
VER,R2025,27.0,80.672,SOFT,63.2,26.0,1,23.762,32.696,24.214,0.5889999999999986,65.40789473684211,0.16776315789473684
VER,R2025,28.0,80.58,SOFT,61.4,27.0,1,23.74,32.564,24.276,0.4969999999999999,63.369281045751634,0.20261437908496732
VER,R2025,49.0,77.141,SOFT,23.599999999999994,48.0,1,22.9,31.039,23.202,-2.941999999999993,70.00337837837837,0.1554054054054054
VER,R2025,50.0,77.997,SOFT,21.799999999999997,49.0,1,22.886,31.646,23.465,-2.0859999999999985,65.11683848797252,0.19931271477663232
VER,R2025,51.0,78.734,SOFT,20.0,50.0,1,23.24,31.725,23.769,-1.3490000000000038,64.6936026936027,0.1750841750841751
VER,R2025,52.0,78.682,SOFT,18.200000000000003,51.0,1,22.719,32.226,23.737,-1.4009999999999962,64.85017421602788,0.1916376306620209
VER,R2025,53.0,78.941,SOFT,16.400000000000006,52.0,1,23.353,31.908,23.68,-1.141999999999996,63.16722408026756,0.18394648829431437
VER,R2025,54.0,78.584,SOFT,14.599999999999994,53.0,1,23.29,31.708,23.586,-1.4989999999999952,65.19243986254295,0.16838487972508592
